# of Features,Explained Variance Ratio,% Variance Explained
1,48.28673530557015,48.3
2,12.890936041030187,61.199999999999996
3,7.615304950233505,68.8
4,7.263215412761455,76.1
5,6.78229116278032,82.89999999999999
6,6.599129357931402,89.49999999999999
7,4.660280941208837,94.19999999999999
8,2.728939723798184,96.89999999999999
9,1.6805243406675001,98.6
10,1.4926427640184612,100.1
